Número;Modelo;Série;CFOP;Emissão;Cliente;Valor;Status;Mensagem retorno;Chave NF-e;Impresso;Carta correção;
100038;99;RP1;5933;15/12/2025;consumidor final;330,00;Normal;;;Não;Não;
100037;99;RP1;5933;15/12/2025;consumidor final;365,00;Normal;;;Não;Não;
100036;99;RP1;5933;15/12/2025;consumidor final;255,00;Normal;;;Não;Não;
100035;99;RP1;5933;14/12/2025;consumidor final;121,00;Normal;;;Não;Não;
100034;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100033;99;RP1;5933;14/12/2025;consumidor final;155,00;Normal;;;Não;Não;
100032;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
100031;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
100030;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100029;99;RP1;5933;14/12/2025;consumidor final;235,00;Normal;;;Não;Não;
100028;99;RP1;5933;14/12/2025;consumidor final;155,00;Normal;;;Não;Não;
100027;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
100026;99;RP1;5933;14/12/2025;consumidor final;315,00;Normal;;;Não;Não;
100025;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100024;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100023;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100022;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
100021;99;RP1;5933;14/12/2025;consumidor final;850,00;Normal;;;Não;Não;
100020;99;RP1;5933;14/12/2025;consumidor final;155,00;Normal;;;Não;Não;
100019;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
100018;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
100017;99;RP1;5933;14/12/2025;consumidor final;345,00;Normal;;;Não;Não;
100016;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100015;99;RP1;5933;14/12/2025;consumidor final;330,00;Normal;;;Não;Não;
100014;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100013;99;RP1;5933;14/12/2025;consumidor final;470,00;Normal;;;Não;Não;
100012;99;RP1;5933;14/12/2025;consumidor final;235,00;Normal;;;Não;Não;
100011;99;RP1;5933;14/12/2025;consumidor final;130,00;Normal;;;Não;Não;
100010;99;RP1;5933;14/12/2025;consumidor final;155,00;Normal;;;Não;Não;
100009;99;RP1;5933;14/12/2025;consumidor final;130,00;Normal;;;Não;Não;
100008;99;RP1;5933;14/12/2025;consumidor final;180,00;Normal;;;Não;Não;
100007;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100006;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
100005;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
100004;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100003;99;RP1;5933;14/12/2025;consumidor final;195,00;Normal;;;Não;Não;
100002;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
100001;99;RP1;5933;14/12/2025;consumidor final;280,00;Normal;;;Não;Não;
100000;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099999;99;RP1;5933;14/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099998;99;RP1;5933;14/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099997;99;RP1;5933;14/12/2025;consumidor final;585,00;Normal;;;Não;Não;
099996;99;RP1;5933;14/12/2025;consumidor final;465,00;Normal;;;Não;Não;
099995;99;RP1;5933;14/12/2025;consumidor final;270,00;Normal;;;Não;Não;
099994;99;RP1;5933;14/12/2025;consumidor final;530,00;Normal;;;Não;Não;
099993;99;RP1;5933;14/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099992;99;RP1;5933;14/12/2025;consumidor final;270,00;Normal;;;Não;Não;
099991;99;RP1;5933;14/12/2025;consumidor final;435,00;Normal;;;Não;Não;
099990;99;RP1;5933;14/12/2025;consumidor final;395,00;Normal;;;Não;Não;
099989;99;RP1;5933;14/12/2025;consumidor final;330,00;Normal;;;Não;Não;
099988;99;RP1;5933;14/12/2025;consumidor final;340,00;Normal;;;Não;Não;
099987;99;RP1;5933;14/12/2025;consumidor final;395,00;Normal;;;Não;Não;
099986;99;RP1;5933;14/12/2025;consumidor final;395,00;Normal;;;Não;Não;
099985;99;RP1;5933;14/12/2025;consumidor final;340,00;Normal;;;Não;Não;
099984;99;RP1;5933;14/12/2025;consumidor final;355,00;Normal;;;Não;Não;
099983;99;RP1;5933;14/12/2025;consumidor final;530,00;Normal;;;Não;Não;
099982;99;RP1;5933;14/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099981;99;RP1;5933;14/12/2025;consumidor final;750,00;Normal;;;Não;Não;
099980;99;RP1;5933;14/12/2025;consumidor final;340,00;Normal;;;Não;Não;
099979;99;RP1;5933;14/12/2025;consumidor final;475,00;Normal;;;Não;Não;
099978;99;RP1;5933;14/12/2025;consumidor final;540,00;Normal;;;Não;Não;
099977;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099976;99;RP1;5933;14/12/2025;consumidor final;865,00;Normal;;;Não;Não;
099975;99;RP1;5933;14/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099974;99;RP1;5933;14/12/2025;consumidor final;420,00;Normal;;;Não;Não;
099973;99;RP1;5933;14/12/2025;consumidor final;270,00;Normal;;;Não;Não;
099972;99;RP1;5933;14/12/2025;consumidor final;400,00;Normal;;;Não;Não;
099971;99;RP1;5933;14/12/2025;consumidor final;330,00;Normal;;;Não;Não;
099970;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099969;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099968;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099967;99;RP1;5933;14/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099966;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099965;99;RP1;5933;14/12/2025;consumidor final;1.000,00;Normal;;;Não;Não;
099964;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099963;99;RP1;5933;14/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099962;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099961;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099960;99;RP1;5933;14/12/2025;Compensados Lages Ltda;200,00;Normal;;;Não;Não;
099959;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099958;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099957;99;RP1;5933;14/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099956;99;RP1;5933;14/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099955;99;RP1;5933;14/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099954;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099953;99;RP1;5933;14/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099952;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099951;99;RP1;5933;14/12/2025;consumidor final;275,00;Normal;;;Não;Não;
099950;99;RP1;5933;14/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099949;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099948;99;RP1;5933;14/12/2025;consumidor final;400,00;Normal;;;Não;Não;
099947;99;RP1;5933;14/12/2025;consumidor final;330,00;Normal;;;Não;Não;
099946;99;RP1;5933;14/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099945;99;RP1;5933;14/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099944;99;RP1;5933;14/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099943;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099942;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099941;99;RP1;5933;14/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099940;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099939;99;RP1;5933;14/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099938;99;RP1;5933;14/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099937;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099936;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099935;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099934;99;RP1;5933;14/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099933;99;RP1;5933;14/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099932;99;RP1;5933;14/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099931;99;RP1;5933;14/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099930;99;RP1;5933;14/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099929;99;RP1;5933;14/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099928;99;RP1;5933;14/12/2025;consumidor final;210,00;Normal;;;Não;Não;
099927;99;RP1;5933;14/12/2025;consumidor final;365,00;Normal;;;Não;Não;
099926;99;RP1;5933;13/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099925;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099924;99;RP1;5933;13/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099923;99;RP1;5933;13/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099922;99;RP1;5933;13/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099921;99;RP1;5933;13/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099920;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099919;99;RP1;5933;13/12/2025;consumidor final;121,00;Normal;;;Não;Não;
099918;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099917;99;RP1;5933;13/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099916;99;RP1;5933;13/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099915;99;RP1;5933;13/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099914;99;RP1;5933;13/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099913;99;RP1;5933;13/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099912;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099911;99;RP1;5933;13/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099910;99;RP1;5933;13/12/2025;consumidor final;210,00;Normal;;;Não;Não;
099909;99;RP1;5933;13/12/2025;consumidor final;121,00;Normal;;;Não;Não;
099908;99;RP1;5933;13/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099907;99;RP1;5933;13/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099906;99;RP1;5933;13/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099905;99;RP1;5933;13/12/2025;consumidor final;270,00;Normal;;;Não;Não;
099904;99;RP1;5933;13/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099903;99;RP1;5933;13/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099902;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099901;99;RP1;5933;13/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099900;99;RP1;5933;13/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099899;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099898;99;RP1;5933;13/12/2025;consumidor final;210,00;Normal;;;Não;Não;
099897;99;RP1;5933;13/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099896;99;RP1;5933;13/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099895;99;RP1;5933;13/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099894;99;RP1;5933;13/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099893;99;RP1;5933;13/12/2025;consumidor final;400,00;Normal;;;Não;Não;
099892;99;RP1;5933;13/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099891;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099890;99;RP1;5933;13/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099889;99;RP1;5933;13/12/2025;consumidor final;400,00;Normal;;;Não;Não;
099888;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099887;99;RP1;5933;13/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099886;99;RP1;5933;13/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099885;99;RP1;5933;13/12/2025;consumidor final;375,00;Normal;;;Não;Não;
099884;99;RP1;5933;13/12/2025;consumidor final;435,00;Normal;;;Não;Não;
099883;99;RP1;5933;13/12/2025;consumidor final;2.200,00;Normal;;;Não;Não;
099882;99;RP1;5933;13/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099881;99;RP1;5933;13/12/2025;consumidor final;340,00;Normal;;;Não;Não;
099880;99;RP1;5933;13/12/2025;consumidor final;480,00;Normal;;;Não;Não;
099879;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099878;99;RP1;5933;13/12/2025;consumidor final;445,00;Normal;;;Não;Não;
099877;99;RP1;5933;13/12/2025;consumidor final;480,00;Normal;;;Não;Não;
099876;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099875;99;RP1;5933;13/12/2025;consumidor final;270,00;Normal;;;Não;Não;
099874;99;RP1;5933;13/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099873;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099872;99;RP1;5933;13/12/2025;consumidor final;585,00;Normal;;;Não;Não;
099871;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099870;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099869;99;RP1;5933;13/12/2025;consumidor final;435,00;Normal;;;Não;Não;
099868;99;RP1;5933;13/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099867;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099866;99;RP1;5933;13/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099865;99;RP1;5933;13/12/2025;consumidor final;275,00;Normal;;;Não;Não;
099864;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099863;99;RP1;5933;13/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099862;99;RP1;5933;13/12/2025;consumidor final;210,00;Normal;;;Não;Não;
099861;99;RP1;5933;13/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099860;99;RP1;5933;13/12/2025;consumidor final;365,00;Normal;;;Não;Não;
099859;99;RP1;5933;13/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099858;99;RP1;5933;13/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099857;99;RP1;5933;13/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099856;99;RP1;5933;13/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099855;99;RP1;5933;13/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099854;99;RP1;5933;13/12/2025;consumidor final;280,00;Normal;;;Não;Não;
099853;99;RP1;5933;13/12/2025;consumidor final;625,00;Normal;;;Não;Não;
099852;99;RP1;5933;13/12/2025;consumidor final;275,00;Normal;;;Não;Não;
099851;99;RP1;5933;13/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099850;99;RP1;5933;13/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099849;99;RP1;5933;13/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099848;99;RP1;5933;13/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099847;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099846;99;RP1;5933;13/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099845;99;RP1;5933;13/12/2025;consumidor final;400,00;Normal;;;Não;Não;
099844;99;RP1;5933;13/12/2025;consumidor final;239,00;Normal;;;Não;Não;
099843;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099842;99;RP1;5933;13/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099841;99;RP1;5933;13/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099840;99;RP1;5933;13/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099839;99;RP1;5933;12/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099838;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099837;99;RP1;5933;12/12/2025;consumidor final;210,00;Normal;;;Não;Não;
099836;99;RP1;5933;12/12/2025;consumidor final;400,00;Normal;;;Não;Não;
099835;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099834;99;RP1;5933;12/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099833;99;RP1;5933;12/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099832;99;RP1;5933;12/12/2025;consumidor final;540,00;Normal;;;Não;Não;
099831;99;RP1;5933;12/12/2025;consumidor final;280,00;Normal;;;Não;Não;
099830;99;RP1;5933;12/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099829;99;RP1;5933;12/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099828;99;RP1;5933;12/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099827;99;RP1;5933;12/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099826;99;RP1;5933;12/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099825;99;RP1;5933;12/12/2025;consumidor final;210,00;Normal;;;Não;Não;
099824;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099823;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099822;99;RP1;5933;12/12/2025;consumidor final;1.000,00;Normal;;;Não;Não;
099821;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099820;99;RP1;5933;12/12/2025;consumidor final;280,00;Normal;;;Não;Não;
099819;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099818;99;RP1;5933;12/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099817;99;RP1;5933;12/12/2025;consumidor final;865,00;Normal;;;Não;Não;
099816;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099815;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099814;99;RP1;5933;12/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099813;99;RP1;5933;12/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099812;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099811;99;RP1;5933;12/12/2025;consumidor final;154,00;Normal;;;Não;Não;
099810;99;RP1;5933;12/12/2025;consumidor final;330,00;Normal;;;Não;Não;
099809;99;RP1;5933;12/12/2025;consumidor final;435,00;Normal;;;Não;Não;
099808;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099807;99;RP1;5933;12/12/2025;consumidor final;530,00;Normal;;;Não;Não;
099806;99;RP1;5933;12/12/2025;consumidor final;640,00;Normal;;;Não;Não;
099805;99;RP1;5933;12/12/2025;consumidor final;365,00;Normal;;;Não;Não;
099804;99;RP1;5933;12/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099803;99;RP1;5933;12/12/2025;consumidor final;475,00;Normal;;;Não;Não;
099802;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099801;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099800;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099799;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099798;99;RP1;5933;12/12/2025;consumidor final;155,00;Normal;;;Não;Não;
099797;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099796;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099795;99;RP1;5933;12/12/2025;consumidor final;300,00;Normal;;;Não;Não;
099794;99;RP1;5933;12/12/2025;consumidor final;465,00;Normal;;;Não;Não;
099793;99;RP1;5933;12/12/2025;consumidor final;365,00;Normal;;;Não;Não;
099792;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099791;99;RP1;5933;12/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099790;99;RP1;5933;12/12/2025;consumidor final;540,00;Normal;;;Não;Não;
099789;99;RP1;5933;12/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099788;99;RP1;5933;12/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099787;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099786;99;RP1;5933;12/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099785;99;RP1;5933;12/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099784;99;RP1;5933;11/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099783;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099782;99;RP1;5933;11/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099781;99;RP1;5933;11/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099780;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099779;99;RP1;5933;11/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099778;99;RP1;5933;11/12/2025;consumidor final;177,00;Normal;;;Não;Não;
099777;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099776;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099775;99;RP1;5933;11/12/2025;consumidor final;195,00;Normal;;;Não;Não;
099774;99;RP1;5933;11/12/2025;consumidor final;230,00;Normal;;;Não;Não;
099773;99;RP1;5933;11/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099772;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099771;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099770;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099769;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099768;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099767;99;RP1;5933;11/12/2025;consumidor final;1.000,00;Normal;;;Não;Não;
099766;99;RP1;5933;11/12/2025;consumidor final;210,00;Normal;;;Não;Não;
099765;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099764;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099763;99;RP1;5933;11/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099762;99;RP1;5933;11/12/2025;consumidor final;200,00;Normal;;;Não;Não;
099761;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099760;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099759;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099758;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099757;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099756;99;RP1;5933;11/12/2025;consumidor final;555,00;Normal;;;Não;Não;
099755;99;RP1;5933;11/12/2025;consumidor final;410,00;Normal;;;Não;Não;
099754;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099753;99;RP1;5933;11/12/2025;consumidor final;310,00;Normal;;;Não;Não;
099752;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099751;99;RP1;5933;11/12/2025;consumidor final;130,00;Normal;;;Não;Não;
099750;99;RP1;5933;11/12/2025;consumidor final;180,00;Normal;;;Não;Não;
099749;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
099748;99;RP1;5933;11/12/2025;consumidor final;395,00;Normal;;;Não;Não;
099747;99;RP1;5933;11/12/2025;consumidor final;235,00;Normal;;;Não;Não;
099746;99;RP1;5933;11/12/2025;consumidor final;530,00;Normal;;;Não;Não;
099745;99;RP1;5933;11/12/2025;consumidor final;355,00;Normal;;;Não;Não;
099744;99;RP1;5933;11/12/2025;consumidor final;340,00;Normal;;;Não;Não;
099743;99;RP1;5933;11/12/2025;consumidor final;395,00;Normal;;;Não;Não;
099742;99;RP1;5933;11/12/2025;consumidor final;340,00;Normal;;;Não;Não;
099741;99;RP1;5933;11/12/2025;consumidor final;355,00;Normal;;;Não;Não;
099740;99;RP1;5933;11/12/2025;consumidor final;345,00;Normal;;;Não;Não;
099739;99;RP1;5933;11/12/2025;consumidor final;255,00;Normal;;;Não;Não;
099738;99;RP1;5933;11/12/2025;consumidor final;165,00;Normal;;;Não;Não;
